n_faces,face_area,max_conf,id,year
0,0.0,0.0,11917,2008
1,0.2614,0.881,80280,2012
0,0.0,0.0,19185,1990
0,0.0,0.0,417384,2019
1,0.2421,0.908,649087,2021
0,0.0,0.0,256274,2014
0,0.0,0.0,11797,1985
0,0.0,0.0,652004,2020
2,0.2655,0.925,787752,2022
0,0.0,0.0,741636,2021
0,0.0,0.0,864873,2021
1,0.3768,0.881,628,1994
1,0.0626,0.914,282069,2014
2,0.0621,0.919,659986,2020
7,0.0608,0.936,41446,2011
2,0.1948,0.916,8913,1989
1,0.1661,0.82,763149,2021
0,0.0,0.0,22804,2009
0,0.0,0.0,291167,2014
0,0.0,0.0,10012,2005
0,0.0,0.0,924,2004
1,0.6604,0.787,364116,2016
2,0.0764,0.936,539,1960
1,0.1991,0.921,458723,2019
5,0.1164,0.915,42968,2005
1,0.0053,0.7,531309,2019
2,0.0115,0.871,766,1992
0,0.0,0.0,8689,1980
4,0.1083,0.911,587496,2020
1,0.0217,0.869,13474,2007
1,0.0099,0.895,848058,2022
2,0.057,0.903,9539,2008
5,0.1393,0.921,11675,1998
2,0.0344,0.922,814,1981
4,0.0288,0.845,29826,2007
5,0.0673,0.932,767504,2021
1,0.0575,0.67,504631,2019
1,0.1202,0.894,594718,2020
2,0.0053,0.887,524216,2020
0,0.0,0.0,128748,1999
3,0.154,0.93,9360,1997
1,0.4086,0.707,791910,2021
1,0.009,0.607,9392,2005
3,0.0636,0.925,133121,2012
0,0.0,0.0,609,1982
0,0.0,0.0,346651,2016
0,0.0,0.0,9362,1990
1,0.0108,0.891,36586,2002
2,0.1907,0.909,10065,2005
1,0.0279,0.834,132232,2013
2,0.1383,0.935,11811,1993
0,0.0,0.0,571055,2019
3,0.0937,0.905,36648,2004
1,0.3382,0.93,627290,2020
0,0.0,0.0,18009,1994
0,0.0,0.0,732472,2020
1,0.0252,0.849,881487,2022
0,0.0,0.0,440597,2017
2,0.0444,0.912,760747,2021
1,0.4949,0.943,321258,2016
1,0.4683,0.786,116946,2006
2,0.2368,0.931,471506,2018
1,0.2508,0.84,621151,2020
12,0.0405,0.892,567609,2019
1,0.0118,0.762,298250,2017
2,0.2039,0.926,8413,1997
3,0.0409,0.801,10925,1985
2,0.2037,0.899,5434,1973
3,0.0502,0.941,670428,2020
1,0.0351,0.638,371608,2018
1,0.1115,0.935,949423,2022
1,0.8045,0.818,667141,2020
0,0.0,0.0,14564,2017
1,0.1234,0.914,203834,2014
1,0.1264,0.794,10676,1982
0,0.0,0.0,12699,2005
0,0.0,0.0,34480,2009
1,0.0109,0.907,9348,1995
3,0.0336,0.873,10014,1985
0,0.0,0.0,18405,2009
0,0.0,0.0,27387,2003
1,0.122,0.917,282070,2015
0,0.0,0.0,11587,1990
0,0.0,0.0,335796,2016
1,0.2484,0.899,570670,2020
5,0.0999,0.922,608195,2020
0,0.0,0.0,9064,1988
1,0.0106,0.894,282035,2017
0,0.0,0.0,10285,1993
5,0.0924,0.919,4234,2000
0,0.0,0.0,10225,1986
2,0.0215,0.857,539517,2018
2,0.0191,0.881,13788,2009
1,0.6332,0.846,133805,2013
1,0.0404,0.758,10131,1988
2,0.4537,0.916,692969,2020
0,0.0,0.0,9431,1996
0,0.0,0.0,10664,2009
0,0.0,0.0,516632,2020
0,0.0,0.0,270771,2014
0,0.0,0.0,7978,2010
1,0.0301,0.824,199534,2013
0,0.0,0.0,300665,2017
0,0.0,0.0,112454,2014
2,0.13,0.93,522681,2019
0,0.0,0.0,736509,2020
1,0.4715,0.835,11470,2001
2,0.4724,0.785,347754,2015
1,0.1604,0.934,1017246,2022
1,0.0415,0.906,171424,2013
1,0.012,0.682,10283,1989
4,0.3155,0.886,893338,2022
1,0.0102,0.639,61012,2012
0,0.0,0.0,999722,2022
1,0.6562,0.738,419479,2017
1,0.0017,0.832,24831,1978
0,0.0,0.0,4283,2007
0,0.0,0.0,243688,2015
0,0.0,0.0,443791,2020
0,0.0,0.0,588,2006
2,0.0175,0.939,1813,1997
0,0.0,0.0,345911,2016
5,0.0615,0.916,19288,2003
0,0.0,0.0,440021,2017
0,0.0,0.0,400136,2017
1,0.0111,0.9,405882,2016
3,0.0489,0.905,9728,1982
0,0.0,0.0,11906,1977
0,0.0,0.0,12594,1999
0,0.0,0.0,438799,2018
1,0.1707,0.792,819876,2022
4,0.0325,0.883,10823,1984
0,0.0,0.0,575774,2020
4,0.0052,0.872,9100,1996
0,0.0,0.0,5876,2007
0,0.0,0.0,753926,2021
3,0.0466,0.893,599281,2021
0,0.0,0.0,315011,2016
5,0.0591,0.911,1992,2007
4,0.217,0.909,3597,1997
1,0.2114,0.637,765,1987
0,0.0,0.0,242224,2014
1,0.0457,0.887,517302,2022
1,0.0816,0.795,595149,2020
0,0.0,0.0,73861,2010
1,0.0247,0.91,726208,2020
