brightness,dark_share,saturation,red_share,palette,palette_share,id,title,year
20.86,0.622,0.4177,0.0025,"[""#090504"", ""#8c2c4c"", ""#4f4d4d"", ""#c7c3c2"", ""#4f2130""]","[0.712, 0.123, 0.065, 0.054, 0.047]",300127,Ghost Story: Passion in Fukagawa,1952
26.81,0.5914,0.485,0.0,"[""#020413"", ""#262c2b"", ""#b0b78f"", ""#70755d"", ""#c5c5c8""]","[0.702, 0.101, 0.09, 0.081, 0.026]",450512,Strange Tale at Midnight,1955
24.57,0.5304,0.7307,0.1886,"[""#1a1a19"", ""#3f0b07"", ""#1d749d"", ""#8b8f2f"", ""#9a0d06""]","[0.402, 0.197, 0.173, 0.148, 0.082]",3079,The Curse of Frankenstein,1957
32.63,0.3391,0.4803,0.0745,"[""#23283e"", ""#3d5186"", ""#866552"", ""#da9e57"", ""#d8614b""]","[0.474, 0.205, 0.116, 0.105, 0.099]",296280,The Revived Monster,1953
19.22,0.6492,0.0813,0.0355,"[""#0b0808"", ""#383737"", ""#71706f"", ""#4e1a1f"", ""#dad9d9""]","[0.586, 0.164, 0.104, 0.096, 0.05]",415584,The Man with the Giant Hat,1950
64.49,0.048,0.333,0.002,"[""#274a64"", ""#985022"", ""#efedec"", ""#442a18"", ""#bb8c4b""]","[0.296, 0.247, 0.23, 0.119, 0.108]",26865,X the Unknown,1956
65.88,0.0098,0.733,0.2134,"[""#e9b312"", ""#e76841"", ""#d9b97e"", ""#a44b2f"", ""#603f31""]","[0.586, 0.176, 0.087, 0.086, 0.065]",43113,The H-Man,1958
65.74,0.1698,0.4459,0.0363,"[""#eddf41"", ""#180d0a"", ""#e1dbce"", ""#764e32"", ""#d4823a""]","[0.322, 0.237, 0.185, 0.148, 0.108]",9077,Tarantula,1955
25.31,0.6316,0.5096,0.0377,"[""#07080d"", ""#eeeb35"", ""#655845"", ""#ce724e"", ""#d4cdc0""]","[0.729, 0.082, 0.079, 0.063, 0.046]",116216,The Unknown Terror,1957
32.25,0.4902,0.7087,0.1277,"[""#09080e"", ""#d9481b"", ""#f2d51d"", ""#cf973c"", ""#644632""]","[0.468, 0.161, 0.138, 0.138, 0.095]",26278,Quatermass 2,1957
61.81,0.1271,0.3422,0.0405,"[""#f1cd51"", ""#34262f"", ""#e5e7cf"", ""#946a46"", ""#808b87""]","[0.328, 0.239, 0.15, 0.146, 0.136]",52196,The Monolith Monsters,1957
46.72,0.0574,0.4559,0.0,"[""#283574"", ""#475990"", ""#7988b1"", ""#b6bece"", ""#ebe87b""]","[0.502, 0.198, 0.156, 0.091, 0.053]",36792,Lake of the Dead,1958
44.0,0.2974,0.3467,0.0165,"[""#25221e"", ""#617254"", ""#a45e2f"", ""#afaa45"", ""#e7ddbe""]","[0.324, 0.226, 0.19, 0.135, 0.124]",19483,It Came from Outer Space,1953
17.24,0.6891,0.0,0.0,"[""#080808"", ""#565656"", ""#2d2d2d"", ""#858585"", ""#c0c0c0""]","[0.614, 0.119, 0.108, 0.098, 0.06]",183841,Return to Glennascaul: A Story That Is Told in Dublin,1953
11.52,0.8219,0.3806,0.0917,"[""#090202"", ""#f3ef1d"", ""#531311"", ""#c2431a"", ""#897f29""]","[0.614, 0.116, 0.112, 0.1, 0.059]",42196,The Bad Seed,1956
49.35,0.1325,0.2985,0.1225,"[""#362e35"", ""#ba9667"", ""#b9523b"", ""#6d6973"", ""#c5b7ab""]","[0.231, 0.226, 0.222, 0.164, 0.158]",299447,Ghost-Cat of Yonaki Swamp,1957
40.66,0.3624,0.6409,0.1856,"[""#110c0d"", ""#dbcb3a"", ""#887242"", ""#d51f28"", ""#c85562""]","[0.359, 0.287, 0.144, 0.111, 0.099]",28437,The Black Sleep,1956
35.44,0.4301,0.6285,0.3738,"[""#480e0d"", ""#1d0d0f"", ""#9f321c"", ""#b98641"", ""#c6c2c2""]","[0.356, 0.276, 0.157, 0.136, 0.075]",29062,Day the World Ended,1955
41.69,0.2868,0.546,0.0233,"[""#0c2a28"", ""#9e905e"", ""#e2b962"", ""#495d40"", ""#a4472f""]","[0.458, 0.185, 0.164, 0.16, 0.032]",28063,"Caltiki, the Immortal Monster",1959
35.76,0.3663,0.314,0.0292,"[""#120e13"", ""#70644a"", ""#4e4143"", ""#cab8b3"", ""#b2923a""]","[0.391, 0.265, 0.16, 0.15, 0.034]",364821,La marca de Satanás,1957
39.93,0.3888,0.4732,0.0175,"[""#100b0b"", ""#d4a326"", ""#533f2d"", ""#cbc6ae"", ""#b96528""]","[0.381, 0.227, 0.184, 0.127, 0.081]",41516,The Mole People,1956
57.87,0.1484,0.463,0.0945,"[""#e6c091"", ""#2f2322"", ""#8c6b55"", ""#efd61e"", ""#de7153""]","[0.282, 0.237, 0.19, 0.174, 0.118]",299442,Returning Spirit,1955
