id,label,score,title,year,is_animal,is_creature
317793,alien,0.762,The Alien Conspiracy: Grey Skies,2003,False,True
75206,uncertain,0.242,Houseboat Horror,1989,False,False
755157,uncertain,0.34,Texas Death Trippin Ax-Tended Cut,2020,False,False
769932,uncertain,0.386,Legend of the Muse,2020,False,False
295576,zombie,0.916,The Victorville Massacre,2011,False,True
314762,uncertain,0.218,The Curse of King Tut's Tomb,1980,False,False
223753,uncertain,0.394,Saurian,2006,False,False
316961,uncertain,0.249,Cards of Death,1986,False,False
886481,uncertain,0.158,Bashira,2021,False,False
123351,giant_monster,0.739,Creepies,2003,False,True
479646,uncertain,0.251,Death on Scenic Drive,2017,False,False
476542,uncertain,0.235,Capture,2017,False,False
559994,uncertain,0.242,Watch If You Dare,2018,False,False
72270,uncertain,0.273,Cry Baby Lane,2000,False,False
279764,zombie,0.51,The Resurrection Game,2001,False,True
526144,zombie,0.732,Prisoners of the Dead,2011,False,True
629121,masked_killer,0.61,Return of the Slasher Nurse,2019,False,True
27773,ghost,0.724,Special Dead,2006,False,True
93100,masked_killer,0.659,Loss of Life,2013,False,True
356555,uncertain,0.473,I Am Alone,2015,False,False
339170,none,0.537,We Are Monsters,2015,False,False
171287,uncertain,0.387,Night of the Dolls,2014,False,False
985383,vampire,0.537,The Sacred Riana 2: Bloody Mary,2022,False,True
27028,masked_killer,0.626,Living Dead Lock Up,2005,False,True
450949,uncertain,0.293,Uniform SurviGirl I,2008,False,False
