id,original_title,title,original_language,overview,tagline,release_date,poster_path,popularity,vote_count,vote_average,budget,revenue,runtime,status,adult,backdrop_path,genre_names,collection,collection_name
6793,Schloß Vogelöd,The Haunted Castle,de,"The sinister Count Oetsch scandalizes the aristocratic social gathering at Castle Vogelod as he announces his intention to ""crash"" the festivities. Baroness Safferstätt is expected shortly, and the guests are well-aware of the rumors that Count Oetsch murdered the baroness' late husband. Oetsch refuses to leave, vowing that he will reveal the identity of the real killer. Before the weekend is through, the Count and Baroness will reveal secrets too shocking to be believed!",,1921-04-07,/7FK7XuRQhKHmN3MKHkelQxiuQWy.jpg,2.854,48,6.3,0,0,0,,False,/zRTMEWcGldnmy2FzFM2Bp3T0zDq.jpg,,,
10728,Faust – Eine deutsche Volkssage,Faust,de,"God and Satan war over earth; to settle things, they wager on the soul of Faust, a learned and prayerful alchemist.",,1926-10-13,/rN703hMFxmkZfyEzsXvFtuFhkXE.jpg,8.985,349,7.9,0,0,0,,False,/vBOKLF3nhdaKRiCvmdoIUTikG2X.jpg,,,
10787,The Invisible Man,The Invisible Man,en,"Working in Dr. Cranley's laboratory, scientist Jack Griffin was always given the latitude to conduct some of his own experiments. His sudden departure, however, has Cranley's daughter Flora worried about him. Griffin has taken a room at the nearby Lion's Head Inn, hoping to reverse an experiment he conducted on himself that made him invisible. But the experimental drug has also warped his mind, making him aggressive and dangerous. He's prepared to do whatever it takes to restore his appearance.",,1933-11-03,/ewfUA5pMEJrmQCdI4TsHmLlIUbf.jpg,15.123,845,7.48,0,0,0,,False,/uGXid3UHMzoL2hyNfWSPDWkqbKC.jpg,,,
13465,The Adventures of Ichabod and Mr. Toad,The Adventures of Ichabod and Mr. Toad,en,"The Wind in the Willows: Concise version of Kenneth Grahame's story of the same name. J. Thaddeus Toad, owner of Toad Hall, is prone to fads, such as the newfangled motor car. This desire for the very latest lands him in much trouble with the wrong crowd, and it is up to his friends, Mole, Rat and Badger to save him from himself. - The Legend of Sleepy Hollow: Retelling of Washington Irving's story set in a tiny New England town. Ichabod Crane, the new schoolmaster, falls for the town beauty, Katrina Van Tassel, and the town Bully Brom Bones decides that he is a little too successful and needs ""convincing"" that Katrina is not for him.",,1949-10-05,/o6GfVkgPaaHJnXNywDLpHJII2tW.jpg,21.088,610,6.5,0,0,0,,False,/grIAbRmB7ShAhzIDqhhk2lTVCSF.jpg,,,
13581,Dead of Night,Dead of Night,en,"Architect Walter Craig, seeking the possibility of some work at a country farmhouse, soon finds himself once again stuck in his recurring nightmare. Dreading the end of the dream that he knows is coming, he must first listen to all the assembled guests' own bizarre tales.",,1945-09-09,/oVAlugIkLCkyyXufNDhtr5kl3yB.jpg,9.733,273,7.2,0,0,0,,False,/9usqa6XNwQIduTwWh55F1xx0FLE.jpg,,,
13666,The Wolf Man,The Wolf Man,en,"After his brother's death, Larry Talbot returns home to his father and the family estate. Events soon take a turn for the worse when Larry is bitten by a werewolf.",,1941-12-12,/vG8fu5syTtQLzK1hQXyi3ugOPNF.jpg,14.762,599,6.981,0,0,0,,False,/hwMWJ8G5173SGCHzrm0mVjvESaY.jpg,,,
13784,Black Friday,Black Friday,en,"University professor George Kingsley is struck by gangsters while crossing the street, leaving him with brain damage and one of the gangsters, Cannon, paralyzed. Kingsley's friend Dr. Sovac attends to both men, and when Cannon offers him a reward for aiding his recovery, Kovac transplants part of Cannon's brain into the dying Kingsley's skull, creating a dual personality.",,1940-02-29,/268GiPoyYmuNhrez1I7GXypKC6T.jpg,7.027,50,6.0,0,0,0,,False,/16WYSxwhf6IMA3BkXRQlWP5PLyO.jpg,,,
14604,Hold That Ghost,Hold That Ghost,en,Two bumbling service station attendants are left as the sole beneficiaries in a gangster's will. Their trip to claim their fortune is sidetracked when they are stranded in a haunted house along with several other strangers.,,1941-08-08,/9CPix9FAWSiUHoxcDOa8eWZYqJ8.jpg,5.954,66,6.7,0,0,0,,False,/hDmGQ9IMWcoADeLpr2qzuH2u5BB.jpg,,,
14605,The Ghost Breakers,The Ghost Breakers,en,"After intrepid working girl Mary Carter becomes the new owner of a reputedly haunted mansion located off the Cuban coast, a stranger phones warning her to stay away from the castle. Undaunted, Mary sets sail for Cuba with a stowaway in her trunk—wise-cracking Larry Lawrence, a radio announcer who helps Mary get to the bottom of the voodoo magic, zombies and ghosts that supposedly curse the spooky estate.",,1940-06-21,/zytHhgTgPuHNdKFxeyznHa6BkA.jpg,9.457,76,6.5,0,0,0,,False,/xIxEbgF1Ta7xzQPqLpfhKrMuIw1.jpg,,,
15849,The Mummy,The Mummy,en,An ancient Egyptian priest named Imhotep is revived when an archaeological expedition finds his mummy and one of the archaeologists accidentally reads an ancient life-giving spell. Imhotep escapes from the field site and searches for the reincarnation of the soul of his lover.,,1932-12-22,/vSKpbZVvzqQcw6htiyEinbCY9vq.jpg,12.465,620,6.8,0,0,0,,False,/bt9PCoS4LRGFdh9OidagZJr03i7.jpg,,,
