id,year,symmetry,neg_space,complexity,mass_y,mass_x,text_area,text_y,text_regions,text_x,text_top,text_w,text_h,align_score,thirds_dist,n_blocks,balance,harmony,diagonal_score,pyramid_shift
1021035,2013,0.78,0.08,0.2,0.43,0.49,0.3156,0.4616,650.0,0.0147,0.0707,0.9198,0.2789,0.07,0.24,6.0,0.08,0.91,0.21,0.04
1020528,2004,0.89,0.13,0.11,0.52,0.44,0.2012,0.5006,289.0,0.2212,0.4047,0.4423,0.3034,0.05,0.24,10.0,0.09,0.91,0.06,-0.01
1022024,2005,0.76,0.19,0.19,0.48,0.53,0.5027,0.4994,388.0,0.0832,0.3409,0.8376,0.0695,0.09,0.24,6.0,0.05,0.91,0.09,0.04
1023241,2012,0.98,0.87,0.04,0.52,0.49,0.0147,0.5371,17.0,0.3061,0.5352,0.3832,0.1402,0.08,0.23,3.0,0.03,-1.0,0.32,0.06
1022132,2019,0.96,0.64,0.07,0.59,0.5,0.1196,0.6062,302.0,0.2144,0.0095,0.5537,0.108,0.07,0.12,7.0,0.09,0.87,0.05,0.06
1022701,2011,0.78,0.42,0.14,0.56,0.52,0.1641,0.4828,312.0,0.0629,0.6941,0.8693,0.194,0.04,0.21,12.0,0.09,0.91,0.28,0.02
1021120,2004,0.82,0.1,0.21,0.49,0.48,0.35,0.4568,384.0,0.042,0.0012,0.937,0.1501,0.06,0.24,6.0,0.04,0.96,0.25,0.03
1022703,2008,0.84,0.25,0.18,0.54,0.49,0.2956,0.4862,414.0,0.0167,0.7745,0.9545,0.2231,0.05,0.23,12.0,0.11,0.91,0.25,-0.01
1021064,2018,0.73,0.06,0.28,0.49,0.49,0.5159,0.5093,684.0,0.1676,0.1611,0.8324,0.284,0.06,0.23,4.0,0.0,0.91,0.37,0.05
1022134,2021,0.93,0.18,0.15,0.48,0.5,0.1524,0.4131,175.0,-1.0,-1.0,-1.0,-1.0,0.07,0.19,7.0,0.06,0.91,0.41,0.04
1023492,2021,0.96,0.66,0.02,0.29,0.28,0.0302,0.1151,78.0,0.0,0.0242,0.3543,0.1843,0.34,0.14,2.0,0.39,0.87,0.79,0.19
1022767,2010,0.85,0.37,0.15,0.48,0.49,0.3454,0.5824,502.0,0.1782,0.1501,0.6445,0.2558,0.05,0.21,10.0,0.02,0.87,0.34,0.26
1022828,2016,0.96,0.16,0.08,0.49,0.49,0.1011,0.458,82.0,0.1223,0.0687,0.8665,0.2043,0.08,0.24,7.0,0.03,0.91,0.01,-0.07
1024591,2022,0.89,0.3,0.17,0.55,0.5,0.2625,0.5242,163.0,0.097,0.6649,0.847,0.1635,0.06,0.23,5.0,0.01,0.91,0.37,-0.08
1023251,2019,0.84,0.23,0.1,0.34,0.52,0.1508,0.405,119.0,0.0513,0.0,0.9101,0.1949,0.08,0.23,7.0,0.27,0.91,0.34,-0.05
1025523,2020,0.88,0.03,0.15,0.6,0.48,0.0754,0.5627,83.0,0.0,0.7816,1.0,0.2148,0.06,0.24,9.0,0.17,0.87,0.31,-0.04
1025508,2020,0.74,0.13,0.16,0.63,0.42,0.232,0.4892,491.0,0.0298,0.5889,0.5537,0.1444,0.06,0.24,8.0,0.2,0.91,0.51,-0.2
1025154,2019,0.88,0.65,0.09,0.64,0.52,0.1608,0.5123,151.0,0.0,0.5469,0.9151,0.3319,0.07,0.19,7.0,0.18,0.91,0.16,0.16
1025783,2020,0.89,0.42,0.08,0.57,0.48,0.1019,0.4987,279.0,0.0288,0.0088,0.9384,0.1549,0.12,0.24,4.0,0.12,0.94,0.07,-0.04
1024822,2022,0.77,0.38,0.07,0.56,0.49,0.1522,0.5115,187.0,0.1646,0.4689,0.7353,0.34,0.11,0.18,5.0,0.06,0.91,0.37,-0.05
1025542,2020,0.85,0.06,0.15,0.5,0.52,0.2607,0.5336,314.0,0.2405,0.0526,0.468,0.1415,0.05,0.24,11.0,0.02,0.91,0.34,0.13
1025918,2020,0.89,0.19,0.13,0.54,0.49,0.1454,0.5922,246.0,0.0523,0.6872,0.9054,0.1151,0.07,0.24,8.0,0.07,0.91,0.17,-0.01
1025572,2021,0.71,0.54,0.13,0.44,0.53,0.3621,0.5489,310.0,0.0,0.0,1.0,0.2633,0.09,0.22,5.0,0.13,0.87,0.28,-0.12
1025826,2021,0.87,0.09,0.08,0.53,0.46,0.0591,0.4886,31.0,0.3218,0.7816,0.3632,0.121,0.06,0.24,10.0,0.07,0.87,0.12,0.0
1025586,2003,0.93,0.68,0.08,0.38,0.53,0.1533,0.4748,308.0,0.0408,0.0,0.9123,0.2715,0.05,0.24,11.0,0.16,-1.0,0.32,-0.14
1027027,2022,0.94,0.42,0.12,0.53,0.5,0.2095,0.4775,193.0,0.0248,0.0775,0.957,0.173,0.04,0.18,13.0,0.01,0.94,0.22,-0.05
